Nama Kost,Jenis Kost,Daerah_Clean,Harga_Angka,Fasilitas_AC,Fasilitas_WiFi,Fasilitas_K_Mandi_Dalam,Fasilitas_Kloset_Duduk,Fasilitas_Kasur,Fasilitas_Akses_24_Jam
Kost Griya Citra,Putri,Sukun,700000,0,1,0,1,1,1
Kost De Bilma Tipe Standard,Putri,Sukun,1350000,0,1,1,1,1,0
Kost Rumah Zora Tipe A,Putra,Lowokwaru,1400000,1,1,1,1,1,0
Kost Omahku,Putri,Lowokwaru,2750000,1,0,1,1,1,1
Kost Griya Amirah,Putri,Lowokwaru,815000,0,1,0,1,1,1
Kost Mama,Putri,Blimbing,900000,0,0,1,1,1,1
Kost Arumba Hill Tipe A,Putra,Lowokwaru,550000,0,0,0,1,1,1
Kost Ndadewi,Putri,Kedungkandang,750000,0,1,1,0,1,1
Kost Agzafia Tipe 1,Putri,Lowokwaru,1500000,1,1,1,1,1,1
Kost La Paradise Tipe A,Putri,Blimbing,2525000,1,1,1,1,1,0
Kost Adenium Tipe B,Putri,Lowokwaru,450000,0,1,0,1,1,1
Kost Harsadana Tipe A,Putra,Lowokwaru,1500000,0,1,1,1,1,1
Kost Griya Al Baroqah Tlogomas,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Pondok Pinus Tipe A,Putri,Lowokwaru,1750000,1,1,1,1,1,1
Kost La Paradise Tipe B,Putri,Blimbing,1936000,1,1,1,1,1,0
Kost Rumah Cisadea Tipe B,Putri,Blimbing,1100000,0,1,1,1,1,0
Kost Griya Amarta Tipe A,Putri,Lowokwaru,1900000,1,1,1,1,1,1
Kost Ruma Penataran 10 Tipe C,Campur,Lowokwaru,2000000,1,1,1,1,1,1
Kost Bu Benny,Putra,Lowokwaru,1550000,1,1,1,1,1,1
Kost Bumi Palapa Premium A,Putri,Lowokwaru,1100000,0,1,1,1,1,1
Kost Tya,Campur,Lowokwaru,1700000,1,1,1,1,1,1
Kost 172,Putri,Klojen,900000,0,1,1,1,1,1
Kost Premium Kalimaya 9 Tipe A,Putra,Lowokwaru,1850000,1,1,1,1,1,1
Kost Babe,Putra,Lowokwaru,400000,0,1,0,0,1,1
Kost Al Birru,Putra,Lowokwaru,1500000,1,1,1,1,1,1
Kost Home At Nami Tipe B,Putra,Lowokwaru,1450000,1,1,1,1,1,1
Kost Kk Camp,Putri,Lowokwaru,1200000,1,1,1,1,1,1
Kost Haufanza,Putra,Lowokwaru,1100000,0,1,1,1,1,0
Kost Simpang Candi Panggung Tipe 1,Putri,Lowokwaru,900000,0,1,1,0,1,1
Kost Garda Semanggi Tipe A,Putra,Lowokwaru,1500000,1,1,1,1,1,1
Kost Rara Dwiga Tipe B,Putra,Lowokwaru,1583000,1,1,1,1,1,1
Kost Alfirdaus Boarding House Tipe Standard,Putri,Lowokwaru,1800000,1,1,1,1,1,1
Kost Kostel Borobudur Executive,Putra,Lowokwaru,1300000,1,1,1,1,1,1
Kost Dtwin Executive,Putri,Lowokwaru,1100000,0,1,1,1,1,1
Kost Green House Universitas Brawijaya Tipe B,Putri,Lowokwaru,1096000,0,1,1,1,1,1
Kost Omah PW Tipe C,Putra,Lowokwaru,418500,0,1,0,0,1,0
Kost House Of Telagawarna Vvip,Putri,Lowokwaru,1200000,1,1,0,0,1,0
Kost Anuri,Putri,Lowokwaru,1250000,1,1,1,1,1,0
Kost Divyanisa Tipe A1,Putri,Lowokwaru,1500000,1,1,1,1,1,0
Kost Raftel Nest,Putra,Lowokwaru,1500000,1,1,1,1,1,1
Kost Cimi Akordion Tipe A,Putri,Lowokwaru,1700000,1,1,1,1,1,0
Kost Arvorya Executive,Putri,Lowokwaru,1700000,1,1,1,1,1,1
Kost Annisa Asthagina 2 Executive,Putri,Karang Ploso,1300000,1,1,1,1,1,1
Kost Ijen Living Tipe 1,Putri,Klojen,650000,0,1,1,1,1,1
Kost Safa Standart Room,Campur,Kedungkandang,1500000,1,1,0,1,1,1
Kost Lusiha Tipe A,Putri,Lowokwaru,1500000,1,1,1,1,1,1
Kost Griya Fatwa 1 Tipe A,Putri,Lowokwaru,1375000,1,1,1,1,1,1
Kost Al Firdaus Tipe A,Putra,Lowokwaru,405900,0,1,0,0,1,0
Kost Boarding Shafa,Putri,Lowokwaru,1500000,1,1,1,1,1,1
Kost Dekat UB Almira,Putri,Klojen,1100000,0,1,1,1,1,0
Kost Adila House Tipe A,Putri,Lowokwaru,1147500,1,1,1,1,1,0
Kost Griya Anjani,Campur,Blimbing,1350000,1,1,1,1,1,1
Kost Vira 2 Tipe B1,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Harmony Merak,Putri,Lowokwaru,1900000,1,1,1,1,1,0
Kost R3 Celaket Loka Wastu Barokah,Campur,Klojen,1300000,1,1,1,1,1,1
Kost Kemuning House Tipe C,Putri,Lowokwaru,1078000,1,1,1,1,1,0
Kost Green House Universitas Brawijaya Tipe A,Putri,Lowokwaru,1315000,0,1,1,1,1,1
Kost Green House Universitas Brawijaya Tipe D,Putri,Lowokwaru,885000,0,1,0,1,1,1
Kost Grace Sigura Gura Executive,Putri,Lowokwaru,1500000,1,1,1,1,1,1
Kost Griya Kyara Executive,Putri,Lowokwaru,1000000,0,1,1,1,1,1
Kost Griya ABA UNIBRAW,Putri,Sukun,1503700,1,1,1,1,1,1
Kost Divya Kayana,Putri,Lowokwaru,1050000,0,1,1,1,1,0
Kost Nusantara,Putri,Lowokwaru,850000,0,1,1,1,1,1
Kost Satria 1,Putra,Lowokwaru,1000000,0,1,1,1,1,1
Kost The Grand I,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost Jasmine Pondok Alam,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Inda Shofiyati Standart,Putri,Lowokwaru,800000,0,1,1,0,1,1
Kost Feisya Tipe A,Putri,Lowokwaru,1350000,1,1,1,1,1,1
Kost Amerta Tipe Standar,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Kepayon Tipe Premium,Putra,Lowokwaru,1600000,1,1,1,1,1,0
Kost Omah Nyaman Baru,Putra,Blimbing,1800000,1,1,1,1,1,1
Kost SR Bylira Tipe A,Putri,Lowokwaru,1450000,1,1,1,1,1,1
Kost Griya Cinderella 119 A Tipe E,Putri,Lowokwaru,1000000,0,1,1,1,1,1
Kost Griya Prima Tipe A,Putra,Lowokwaru,850000,0,1,0,0,1,0
Kost Purple House,Putri,Lowokwaru,1275000,1,1,1,1,1,1
Kost Ruma Penataran 10 Tipe B,Campur,Lowokwaru,2250000,1,1,1,1,1,1
Kost Jl Lely,Putra,Lowokwaru,700000,0,1,0,0,1,1
Kost Urban View Tipe A,Putri,Sukun,1400000,1,1,1,1,1,0
Kost Vira I Ac,Putri,Lowokwaru,1350000,1,1,1,1,0,1
Kost Suhartono Tlogomas Tipe A,Putri,Lowokwaru,421200,0,1,0,0,1,0
Kost Griya Fatwa 2 Tipe A,Putri,Lowokwaru,1789000,1,1,1,1,1,0
Kost Pondok Sakinah Executive,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Biru Karanglo Tipe A,Putri,Lowokwaru,600000,0,0,1,1,1,1
Kost Taman Nusa Indah Tipe A,Putra,Lowokwaru,1250000,0,1,1,1,1,1
Kost Candi Mendut Tipe A1,Putra,Lowokwaru,1000000,0,1,1,1,1,1
Kost UMM3 Esthetic,Putri,Lowokwaru,800000,0,1,1,1,1,1
Kost Kuning,Putri,Lowokwaru,800000,0,1,1,1,1,0
Kost Vira 2 Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Harmony Jatimulyo,Putri,Lowokwaru,1700000,1,1,1,1,1,0
Kost Griya Shanta M 306 Tipe A,Putra,Lowokwaru,1169000,0,1,1,1,1,1
Kost Kedawung AC Single KMD,Putri,Lowokwaru,1200000,1,1,1,1,1,1
Kost De Bilma Tipe Pojok,Putri,Sukun,1100000,0,1,1,1,1,0
Kost Khodijah,Putri,Lowokwaru,1000000,1,1,1,1,1,1
Kost M Executive,Putri,Lowokwaru,1300000,1,1,1,0,1,1
Kost 203 Premium,Putri,Lowokwaru,750000,0,1,0,1,1,0
Kost Sembilan C Dan D Tipe Superior Non Ac,Putri,Lowokwaru,1400000,0,1,1,1,1,0
Kost Bungas,Putri,Lowokwaru,1200000,0,1,1,1,1,0
Kost 56A Tipe A,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Bunda Septi,Putra,Lowokwaru,700000,0,1,0,1,1,0
Kost Raca Tipe A,Putra,Lowokwaru,970000,0,1,1,1,1,1
Kost Arjosari Tipe 2,Putra,Blimbing,750000,0,1,1,1,1,1
Kost Adelinn Tipe D,Putri,Lowokwaru,675000,0,1,0,1,1,0
Kost New Pondok Gloria Tipe A,Putri,Lowokwaru,1400000,1,1,1,0,1,1
Kost Nest Standart AC,Putra,Lowokwaru,2000000,1,1,1,1,1,0
Kost Boyan Tipe A,Putri,Lowokwaru,1300000,0,1,1,1,1,1
Kost Fortuna,Putra,Blimbing,950000,0,1,1,1,1,1
Kost Arum,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Sembilan C Dan D Tipe Economy 3,Putri,Lowokwaru,1200000,0,1,1,1,1,1
Kost New Pondok Gloria Tipe B,Putri,Lowokwaru,1700000,1,1,1,1,1,1
Kost Vanilla Green Tipe B,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Graha Agung Tipe A,Putri,Lowokwaru,1650000,1,1,1,1,1,1
Kost Eliza,Putri,Lowokwaru,775000,0,1,0,1,1,1
Kost Amarta,Putra,Lowokwaru,775000,0,1,0,0,1,1
Kost Nest Sigura 1,Putra,Lowokwaru,1700000,0,1,1,1,1,0
Kost Nnl,Putra,Lowokwaru,1600000,0,1,0,1,1,1
Kost Karyawan Tipe B,Putra,Blimbing,750000,0,1,1,1,1,1
Kost Penthouse Puri Akordion,Putra,Lowokwaru,950000,0,1,1,1,1,1
Kost Sisca Tipe Premium,Putri,Lowokwaru,1400000,1,1,1,1,1,0
Kost Dia 2 Syariah Superior Twin,Campur,Lowokwaru,3300000,1,1,1,1,1,1
Kost Griya Asma Tipe B,Putri,Lowokwaru,600000,0,1,0,0,1,1
Kost Griyashanta L 230 Tipe A,Putri,Lowokwaru,950000,0,1,1,1,1,1
Kost Manggar Tipe B,Putri,Lowokwaru,800000,0,1,1,0,1,0
Kost Cbr 22 Bajang Ratu Tipe B,Putra,Blimbing,1350000,1,1,0,1,1,1
Kost Defia,Putri,Lowokwaru,1450000,1,1,1,1,1,1
Kost Sutoyo V,Putra,Lowokwaru,800000,0,1,1,1,1,1
Kost Cemara Tidar 1,Putra,Sukun,1200000,0,1,1,1,1,0
Kost Paviliun Kembang Sepatu,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Shafa Aliya 1,Putra,Sukun,650000,0,1,0,1,1,1
Kost Gtr Tipe A Standart,Putra,Sukun,600000,0,1,0,1,1,1
Kost Joyo,Putra,Lowokwaru,950000,0,1,1,1,1,1
Kost Kediaman Iboe Standard Lt3,Putri,Lowokwaru,1500000,1,1,1,0,1,0
Kost Ekslusif Esthetic Dorowati,Putri,Klojen,750000,0,1,1,0,1,1
Kost Puspa Syariah Standard,Putra,Lowokwaru,2250000,1,1,1,1,1,0
Kost Sembilan C Dan D Tipe Economy 2,Putri,Lowokwaru,875000,0,1,0,1,1,0
Kost Hachi Tipe A,Putra,Lowokwaru,1600000,1,1,1,1,1,0
Kost Candi Bima Executive,Putra,Lowokwaru,1600000,1,1,1,1,1,1
Kost Sunny I Tipe B,Putri,Lowokwaru,850000,0,1,1,1,1,1
Kost Safa Tipe Eksklusif,Putri,Lowokwaru,1500000,1,1,1,1,1,1
Kost Solikin 112,Putri,Sukun,500000,0,0,0,0,1,1
Kost Almayra I,Putri,Lowokwaru,1500000,1,1,1,1,1,1
Kost Cozy Tidar,Campur,Sukun,1800000,1,0,1,1,1,1
Kost Ayu Tipe A,Putra,Klojen,600000,0,1,0,0,1,1
Kost Loka 1 Tipe B,Campur,Blimbing,800000,1,1,0,1,1,0
Kost Alhambra,Putri,Klojen,1750000,1,1,1,1,1,1
Kost Janti Barat Tipe B,Putra,Sukun,500000,0,0,0,0,1,0
Kost Griya Syariah,Putri,Lowokwaru,850000,0,1,0,1,1,1
Kost Alexandria,Putri,Lowokwaru,1300000,1,1,1,1,1,0
Kost M 541,Putra,Lowokwaru,1600000,1,1,1,1,1,0
Kost Singgalang 6,Putri,Sukun,1200000,0,1,1,1,1,0
Kost Adelinn Tipe B,Putri,Lowokwaru,765000,0,1,0,1,1,0
Kost Kediaman Iboe Large Lt2,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost Izy,Putri,Lowokwaru,900000,0,1,0,1,1,0
Kost Kendalsari Tipe Standard,Putri,Lowokwaru,1000000,0,1,1,1,1,0
Kost Griiya Honey Executive,Putri,Lowokwaru,1400000,1,1,1,1,1,0
Kost J Executive,Putra,Sukun,900000,0,1,1,1,1,0
Kost EZ Tipe C,Putra,Lowokwaru,1961000,1,1,1,1,1,1
Kost Your Home Tipe C,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Seven House Suhat VIP,Putri,Lowokwaru,1500000,1,1,1,1,1,1
Kost Alfin Tipe A,Putra,Lowokwaru,1550000,1,1,1,1,1,0
Kost Bale Teduh Tipe 1,Putri,Lowokwaru,1350000,1,1,1,1,1,0
Kost Nyenyak Tipe A,Putri,Lowokwaru,1250000,1,1,1,1,1,0
Kost Kemuning House Tipe B,Putri,Lowokwaru,1280500,1,1,1,1,1,0
Kost Senggani 39,Putra,Lowokwaru,700000,0,1,0,1,1,1
Kost Cemara Tidar Tipe C,Putra,Sukun,1700000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe B,Campur,Blimbing,1465000,1,1,1,1,1,1
Kost Lavender 21,Putri,Lowokwaru,1100000,1,0,1,0,0,0
Kost As Sakinah Executive,Putri,Sukun,1100000,0,1,1,1,1,1
Kost Family Tombro Tengah Sawah,Putra,Lowokwaru,1000000,0,1,1,1,1,1
Kost Pisang Kipas 63 A,Putri,Lowokwaru,835000,0,1,1,1,1,1
Kost Rumah Yura Executive,Putri,Lowokwaru,1600000,1,1,1,1,1,1
Kost Sembilan C Dan D Tipe VIP 2,Putri,Lowokwaru,1550000,0,1,1,1,1,0
Kost EZ Tipe B,Putra,Lowokwaru,1969800,1,1,1,1,1,1
Kost Griya Shanta Soekarno Hatta,Putra,Lowokwaru,750000,0,1,0,1,1,1
Kost Az Zahra 2 Tlogomas Tipe A,Putri,Lowokwaru,1496000,1,1,1,1,1,0
Kost Eksklusif Hawa 3 Tunggul Wulung,Putri,Lowokwaru,1200000,1,1,0,1,1,1
Kost Puri Asthagina Tipe A,Putri,Karang Ploso,1200000,1,1,1,1,0,1
Kost Oma Omi Tipe B,Putri,Lowokwaru,1100000,1,1,0,1,1,1
Kost Sapphire Tipe B,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Griya Namiraya Tipe Executive,Putri,Lowokwaru,1500000,1,1,1,0,1,1
Kost STG 14 Pandanwangi VIP,Putri,Blimbing,2000000,1,1,1,1,1,1
Kost EZ Tipe A,Putra,Lowokwaru,2049000,1,1,1,1,1,1
Kost Bukit Hijau A5,Putri,Lowokwaru,600000,0,1,0,0,1,1
Kost Griya 74 Tipe A,Putri,Sukun,465000,0,1,0,1,1,1
Kost Safiya Tipe B,Putri,Lowokwaru,850000,0,1,0,1,1,0
Kos Bu Yosi Tipe A,Putra,Lowokwaru,900000,0,1,1,1,1,1
Kost Manggar Tipe C,Putri,Lowokwaru,617400,0,1,0,0,1,0
Kost Mols Board House Tipe A,Putri,Lowokwaru,750000,0,1,0,1,1,0
Kost 54 Bening Standar,Putra,Lowokwaru,550000,0,1,0,0,1,1
Kost Sifi House Ac,Putri,Kedungkandang,1200000,1,1,1,1,1,0
Kost Griya Lumba Lumba VVIP,Putra,Lowokwaru,1200000,1,1,1,1,1,1
Kost Griya Kinan,Putri,Lowokwaru,1000000,0,1,1,1,1,1
Kost Premium VIP,Putra,Lowokwaru,1500000,1,1,0,1,1,1
Kost Lavender 6,Putri,Lowokwaru,1300000,1,1,1,1,1,0
Kost Bunga Andong Tipe B,Putri,Lowokwaru,650000,0,1,0,1,1,1
Kost Lely Tipe A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Kediaman Iboe Large Lt3,Putri,Lowokwaru,2000000,1,1,1,1,1,0
Kost New Pondok Gloria Tipe C,Putri,Lowokwaru,1200000,0,1,1,1,1,1
Kost Pulosari 14,Putri,Blimbing,600000,0,1,0,0,1,0
Kost De Bilma Tipe Mezzanine,Putri,Sukun,1850000,1,1,1,1,1,0
Kost Baraca Tipe C,Putra,Sukun,600000,0,1,1,0,1,0
Kost Oma Omi Tipe A,Putri,Lowokwaru,1500000,1,1,1,1,1,1
Kost Hadta,Putri,Lowokwaru,800000,0,1,1,1,1,1
Kost Podo Rukun,Putra,Lowokwaru,1300000,1,1,1,1,1,1
Kost Griya Cades Executive,Putri,Lowokwaru,1700000,1,1,1,1,1,1
Kost Mertojoyo Bar,Putra,Lowokwaru,750000,0,1,0,1,1,1
Kost Vanilla Green Tipe A,Putri,Lowokwaru,700000,0,1,0,1,1,1
Kost Rh Tipe 4,Putra,Lowokwaru,850000,0,1,1,1,1,1
Kost Perumahan Dinoyo Tipe A,Putri,Lowokwaru,875000,0,1,1,0,1,0
Kost Erwanu Siguragura,Putri,Sukun,650000,0,1,0,1,1,1
Kost Kd50 Tipe A,Putra,Lowokwaru,600000,0,1,1,1,1,1
Kost Mantika Tipe A,Putri,Lowokwaru,1050000,0,1,1,1,1,0
Kost Kayfana,Putra,Lowokwaru,1300000,1,1,1,0,1,0
Kost Bsg 27 Siguragura Executive,Putri,Lowokwaru,1100000,0,1,0,0,1,0
Kost Sapphire Tipe A,Putri,Lowokwaru,1000000,0,1,1,1,1,1
Kost Kosmea Tipe A,Putri,Lowokwaru,650000,0,1,0,0,1,0
Kost Nest Sigura VIP Ac,Putra,Lowokwaru,2300000,1,1,1,1,1,0
Kost Japan Premium 1,Putri,Klojen,2100000,1,1,1,1,1,1
Kost Marsya Tipe A,Putri,Blimbing,1535000,1,0,1,1,1,1
Kost RSSA,Putri,Klojen,700000,0,1,0,0,1,1
Kost Mawar BCT Tipe A,Putri,Lowokwaru,1100000,1,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
